epoch,step,test_accuracy,test_loss,train_accuracy,train_loss,val_accuracy,val_loss
0,99,,,,,0.7619333267211914,0.4822845458984375
0,99,,,0.7494140863418579,0.5192036628723145,,
1,199,,,,,0.7946666479110718,0.4382355511188507
1,199,,,0.7787890434265137,0.4771535396575928,,
2,299,,,,,0.783133327960968,0.46803319454193115
2,299,,,0.785449206829071,0.46329745650291443,,
3,399,,,,,0.7880666851997375,0.4548381567001343
3,399,,,0.7946484088897705,0.4481040835380554,,
4,499,,,,,0.783133327960968,0.45676302909851074
4,499,,,0.8005468845367432,0.4376920759677887,,
5,599,,,,,0.7843999862670898,0.48549264669418335
5,599,,,0.8074414134025574,0.42700716853141785,,
6,699,,,,,0.7961333394050598,0.4279457926750183
6,699,,,0.8169140815734863,0.4074854254722595,,
7,799,,,,,0.7985333204269409,0.4265230596065521
7,799,,,0.8228320479393005,0.39634963870048523,,
8,899,,,,,0.7973999977111816,0.4309060871601105
8,899,,,0.8250585794448853,0.3916233777999878,,
9,999,,,,,0.7854666709899902,0.45686617493629456
9,999,,,0.8271484375,0.38934725522994995,,
10,1099,,,,,0.7986000180244446,0.42703065276145935
10,1099,,,0.8265429735183716,0.38900303840637207,,
11,1199,,,,,0.8003333210945129,0.43205803632736206
11,1199,,,0.8281445503234863,0.38436469435691833,,
12,1299,,,,,0.8012666702270508,0.4276534616947174
12,1299,,,0.8323633074760437,0.3794390559196472,,
13,1399,,,,,0.8017333149909973,0.4251505732536316
13,1399,,,0.8326757550239563,0.37796348333358765,,
14,1499,,,,,0.7993999719619751,0.4278339147567749
14,1499,,,0.8351757526397705,0.37387725710868835,,
15,1599,,,,,0.8046666383743286,0.4245671033859253
15,1599,,,0.8335742354393005,0.3760058283805847,,
16,1699,,,,,0.8023999929428101,0.4283035695552826
16,1699,,,0.834277331829071,0.3741947412490845,,
17,1799,,,,,0.8014666438102722,0.425958514213562
17,1799,,,0.834765613079071,0.37435799837112427,,
18,1899,,,,,0.8024666905403137,0.4252442419528961
18,1899,,,0.8333789110183716,0.3737488090991974,,
19,1999,,,,,0.8015333414077759,0.42650604248046875
19,1999,,,0.8347265720367432,0.3736135959625244,,
20,2000,0.790679931640625,0.4504377543926239,,,,
