epoch,step,test_accuracy,test_loss,train_accuracy,train_loss,val_accuracy,val_loss
0,49,,,,,0.7639333605766296,0.4945635199546814
0,49,,,0.7760546803474426,0.4909822344779968,,
1,99,,,,,0.7939333319664001,0.42786458134651184
1,99,,,0.8075781464576721,0.4282950162887573,,
2,149,,,,,0.8033333420753479,0.43301862478256226
2,149,,,0.8268749713897705,0.398493230342865,,
3,199,,,,,0.7703999876976013,0.5020021200180054
3,199,,,0.8396093845367432,0.3732565939426422,,
4,249,,,,,0.79666668176651,0.4342656433582306
4,249,,,0.8591406345367432,0.3350756764411926,,
5,299,,,,,0.7670000195503235,0.5152981877326965
5,299,,,0.8724609613418579,0.30883920192718506,,
6,349,,,,,0.7652000188827515,0.6762246489524841
6,349,,,0.9154297113418579,0.2211926132440567,,
7,399,,,,,0.7529333233833313,0.856650173664093
7,399,,,0.9420703053474426,0.1551724076271057,,
8,449,,,,,0.7602666616439819,1.0591117143630981
8,449,,,0.9624609351158142,0.10738811641931534,,
9,499,,,,,0.7621999979019165,1.085550308227539
9,499,,,0.9712109565734863,0.0806303471326828,,
10,549,,,,,0.7640666961669922,1.1193022727966309
10,549,,,0.9837499856948853,0.05083707347512245,,
11,599,,,,,0.7659333348274231,1.1579291820526123
11,599,,,0.9873828291893005,0.04314382001757622,,
12,649,,,,,0.7664666771888733,1.2036024332046509
12,649,,,0.9892968535423279,0.038006968796253204,,
13,699,,,,,0.7657999992370605,1.249507188796997
13,699,,,0.9898046851158142,0.03529784083366394,,
14,749,,,,,0.7640666961669922,1.27886164188385
14,749,,,0.9911327958106995,0.03196049854159355,,
15,799,,,,,0.7634666562080383,1.2896499633789062
15,799,,,0.9916406273841858,0.030457502231001854,,
16,849,,,,,0.7614666819572449,1.2929903268814087
16,849,,,0.9901562333106995,0.03359438106417656,,
17,899,,,,,0.7620000243186951,1.299214482307434
17,899,,,0.9909374713897705,0.03143085539340973,,
18,949,,,,,0.7639333605766296,1.2853381633758545
18,949,,,0.9907812476158142,0.03211583197116852,,
19,999,,,,,0.7610666751861572,1.3022207021713257
19,999,,,0.9913281202316284,0.030300742015242577,,
20,1049,,,,,0.7632666826248169,1.2918705940246582
20,1049,,,0.9909765720367432,0.03140116110444069,,
21,1099,,,,,0.7608000040054321,1.2949527502059937
21,1099,,,0.9910547137260437,0.03081568330526352,,
22,1149,,,,,0.7621333599090576,1.2959591150283813
22,1149,,,0.9910937547683716,0.03132734075188637,,
23,1199,,,,,0.7634000182151794,1.2833982706069946
23,1199,,,0.9905859231948853,0.0322754830121994,,
24,1249,,,,,0.7625333070755005,1.2941663265228271
24,1249,,,0.9908202886581421,0.03142557293176651,,
25,1299,,,,,0.762666642665863,1.2866442203521729
25,1299,,,0.9901953339576721,0.03228750079870224,,
26,1349,,,,,0.7607333064079285,1.3144956827163696
26,1349,,,0.9913281202316284,0.02997741475701332,,
27,1399,,,,,0.7613333463668823,1.30422842502594
27,1399,,,0.9913671612739563,0.030820894986391068,,
28,1449,,,,,0.7635999917984009,1.285547137260437
28,1449,,,0.991015613079071,0.03128013759851456,,
29,1499,,,,,0.7627333402633667,1.2875072956085205
29,1499,,,0.9908202886581421,0.030658362433314323,,
30,1549,,,,,0.759933352470398,1.312061071395874
30,1549,,,0.9910937547683716,0.0319487489759922,,
31,1599,,,,,0.7643333077430725,1.2822943925857544
31,1599,,,0.9912499785423279,0.030950861051678658,,
32,1649,,,,,0.763533353805542,1.287520408630371
32,1649,,,0.9908593893051147,0.031068701297044754,,
33,1699,,,,,0.7626000046730042,1.2876168489456177
33,1699,,,0.9910937547683716,0.03066236525774002,,
34,1749,,,,,0.762666642665863,1.2797549962997437
34,1749,,,0.9899218678474426,0.0328516885638237,,
35,1799,,,,,0.7610666751861572,1.29653799533844
35,1799,,,0.9913671612739563,0.030792122706770897,,
36,1849,,,,,0.7612666487693787,1.30361807346344
36,1849,,,0.9910937547683716,0.031474851071834564,,
37,1899,,,,,0.7605999708175659,1.3085216283798218
37,1899,,,0.9905468821525574,0.03206050023436546,,
38,1949,,,,,0.7612000107765198,1.2968811988830566
38,1949,,,0.9912109375,0.030664727091789246,,
39,1999,,,,,0.760533332824707,1.315553069114685
39,1999,,,0.991406261920929,0.03044182062149048,,
40,2000,0.74798583984375,0.537612795829773,,,,
