epoch,step,test_accuracy,test_loss,train_accuracy,train_loss,val_accuracy,val_loss
0,499,,,,,0.821990966796875,0.40235060453414917
0,499,,,0.8327929973602295,0.3765625059604645,,
1,999,,,,,0.823333740234375,0.3850787281990051
1,999,,,0.8624374866485596,0.32111650705337524,,
2,1499,,,,,0.829681396484375,0.3791886866092682
2,1499,,,0.8728632926940918,0.3009317219257355,,
3,1999,,,,,0.815521240234375,0.4410021901130676
3,1999,,,0.880984365940094,0.28528887033462524,,
4,2499,,,,,0.823455810546875,0.40686744451522827
4,2499,,,0.8868945240974426,0.27442577481269836,,
5,2999,,,,,0.82830810546875,0.39067697525024414
5,2999,,,0.8912695050239563,0.26423269510269165,,
6,3499,,,,,0.81317138671875,0.42491650581359863
6,3499,,,0.8941640853881836,0.2585413455963135,,
7,3999,,,,,0.82305908203125,0.4118073582649231
7,3999,,,0.9103437662124634,0.22273501753807068,,
8,4499,,,,,0.820343017578125,0.41946741938591003
8,4499,,,0.915277361869812,0.21128009259700775,,
9,4999,,,,,0.8204345703125,0.4206101894378662
9,4999,,,0.9183945059776306,0.20490746200084686,,
10,5499,,,,,0.8167724609375,0.44285839796066284
10,5499,,,0.920785129070282,0.2002173215150833,,
11,5999,,,,,0.820709228515625,0.4369688034057617
11,5999,,,0.9238554835319519,0.19358213245868683,,
12,6499,,,,,0.8209228515625,0.4396551251411438
12,6499,,,0.9247851371765137,0.1914132982492447,,
13,6999,,,,,0.8189697265625,0.44268643856048584
13,6999,,,0.9249492287635803,0.19135445356369019,,
14,7499,,,,,0.8182373046875,0.44592955708503723
14,7499,,,0.9250156283378601,0.1912607103586197,,
15,7999,,,,,0.82086181640625,0.44353315234184265
15,7999,,,0.9257578253746033,0.1897384375333786,,
16,8499,,,,,0.82110595703125,0.4394073486328125
16,8499,,,0.924972653388977,0.19080373644828796,,
17,8999,,,,,0.818206787109375,0.4453141689300537
17,8999,,,0.9258906245231628,0.18970496952533722,,
18,9499,,,,,0.819366455078125,0.4454088509082794
18,9499,,,0.925460934638977,0.1901317685842514,,
19,9999,,,,,0.8177490234375,0.4565328359603882
19,9999,,,0.9257422089576721,0.19002380967140198,,
20,10499,,,,,0.8204345703125,0.4428122043609619
20,10499,,,0.9253906011581421,0.18999595940113068,,
21,10999,,,,,0.81903076171875,0.44261887669563293
21,10999,,,0.925417959690094,0.18966421484947205,,
22,11499,,,,,0.818695068359375,0.44457265734672546
22,11499,,,0.9252969026565552,0.1902736872434616,,
23,11999,,,,,0.821197509765625,0.44074711203575134
23,11999,,,0.9252382516860962,0.19039535522460938,,
24,12499,,,,,0.821319580078125,0.44125330448150635
24,12499,,,0.9254726767539978,0.19029511511325836,,
25,12999,,,,,0.817901611328125,0.44702625274658203
25,12999,,,0.9256953001022339,0.19005350768566132,,
26,13499,,,,,0.81927490234375,0.44536757469177246
26,13499,,,0.9248281121253967,0.19027209281921387,,
27,13999,,,,,0.818572998046875,0.4463875889778137
27,13999,,,0.925222635269165,0.1899034082889557,,
28,14499,,,,,0.819854736328125,0.44206947088241577
28,14499,,,0.9251484274864197,0.18999040126800537,,
29,14999,,,,,0.821380615234375,0.43837782740592957
29,14999,,,0.9254257678985596,0.19056202471256256,,
30,15000,0.81298828125,0.4212762713432312,,,,
