epoch,step,test_accuracy,test_loss,train_accuracy,train_loss,val_accuracy,val_loss
0,199,,,,,0.819266676902771,0.42070841789245605
0,199,,,0.8505566120147705,0.34343764185905457,,
1,399,,,,,0.8235999941825867,0.41311192512512207
1,399,,,0.8973730206489563,0.2519034445285797,,
2,599,,,,,0.8169999718666077,0.45072677731513977
2,599,,,0.914306640625,0.21306200325489044,,
3,799,,,,,0.7828666567802429,0.6179344654083252
3,799,,,0.9298340082168579,0.17909491062164307,,
4,999,,,,,0.8041333556175232,0.5086981058120728
4,999,,,0.9434667825698853,0.14781321585178375,,
5,1199,,,,,0.7888666391372681,0.7707682251930237
5,1199,,,0.9534375071525574,0.1217513158917427,,
6,1399,,,,,0.8153333067893982,0.8050323128700256
6,1399,,,0.9822949171066284,0.05104698985815048,,
7,1599,,,,,0.8071333169937134,1.053943157196045
7,1599,,,0.9933691620826721,0.022159771993756294,,
8,1799,,,,,0.8019333481788635,1.283218264579773
8,1799,,,0.9963964819908142,0.012349843978881836,,
9,1999,,,,,0.8058000206947327,1.3588231801986694
9,1999,,,0.9973730444908142,0.009380849078297615,,
10,2000,0.778717041015625,0.5436279773712158,,,,
