SGD_acc,epoch,lr-SGD,lr-SGD-1,step,train_loss,val_loss
,,0.005,0.005,0,,
,0,,,99,,4.314464569091797
0.564453125,0,,,99,4.579319477081299,
,,0.004969227007317547,0.005,100,,
,1,,,199,,4.3138427734375
,1,,,199,4.314128875732422,
,,0.004877665762479737,0.005,200,,
,2,,,299,,4.3130717277526855
0.6650390625,2,,,299,4.31345796585083,
,,0.004727570807208826,0.005,300,,
,3,,,399,,4.312760353088379
,3,,,399,4.312997817993164,
,,0.004522637977440182,0.005,400,,
,4,,,499,,4.312471389770508
0.6708984375,4,,,499,4.312769889831543,
,,0.004267913399575776,0.005,500,,
,5,,,599,,4.312336444854736
,5,,,599,4.312566757202148,
,,0.003969669238105038,0.005,600,,
,6,,,699,,4.312111854553223
0.658203125,6,,,699,4.312376499176025,
,,0.003635249254098998,0.005,700,,
,7,,,799,,4.3119401931762695
,7,,,799,4.312231063842773,
,,0.003272887977440182,0.005,800,,
,8,,,899,,4.311870098114014
0.6455078125,8,,,899,4.312117099761963,
,,0.002891507945368058,0.005,900,,
,9,,,999,,4.311841011047363
,9,,,999,4.312036037445068,
,,0.0025005000000000006,0.005,1000,,
,10,,,1099,,4.311718940734863
0.6650390625,10,,,1099,4.311920166015625,
,,0.002109492054631944,0.005,1100,,
,11,,,1199,,4.311709403991699
,11,,,1199,4.311901092529297,
,,0.0017281120225598192,0.005,1200,,
,12,,,1299,,4.31158971786499
0.6982421875,12,,,1299,4.311771392822266,
,,0.0013657507459010028,0.005,1300,,
,13,,,1399,,4.3115458488464355
,13,,,1399,4.311733245849609,
,,0.0010313307618949636,0.005,1400,,
,14,,,1499,,4.311481475830078
0.689453125,14,,,1499,4.3116536140441895,
,,0.0007330866004242246,0.005,1500,,
,15,,,1599,,4.311486721038818
,15,,,1599,4.311681747436523,
,,0.00047836202255981916,0.005,1600,,
,16,,,1699,,4.3113908767700195
0.62890625,16,,,1699,4.311559677124023,
,,0.00027342919279117474,0.005,1700,,
,17,,,1799,,4.3113627433776855
,17,,,1799,4.311548709869385,
,,0.00012333423752026375,0.005,1800,,
,18,,,1899,,4.311309814453125
0.6806640625,18,,,1899,4.311488628387451,
,,3.177299268245342e-05,0.005,1900,,
,19,,,1999,,4.311228275299072
,19,,,1999,4.311445713043213,
,,1e-06,0.005,2000,,
,20,,,2099,,4.311275482177734
0.693359375,20,,,2099,4.311427593231201,
,,3.177299268245314e-05,0.005,2100,,
,21,,,2199,,4.31129789352417
,21,,,2199,4.311465263366699,
,,0.00012333423752026318,0.005,2200,,
,22,,,2299,,4.311196804046631
0.6552734375,22,,,2299,4.311354637145996,
,,0.0002734291927911744,0.005,2300,,
,23,,,2399,,4.311213970184326
,23,,,2399,4.311352252960205,
,,0.0004783620225598185,0.005,2400,,
,24,,,2499,,4.3111371994018555
0.6171875,24,,,2499,4.311300277709961,
,,0.0007330866004242239,0.005,2500,,
,25,,,2599,,4.311124801635742
,25,,,2599,4.311294078826904,
,,0.0010313307618949627,0.005,2600,,
,26,,,2699,,4.311115741729736
0.7099609375,26,,,2699,4.311247825622559,
,,0.0013657507459010018,0.005,2700,,
